map,exit_code,duration_s,screenshot,bmp_w,bmp_h,top_mean,top_black_pct,bot_mean,bot_black_pct
BRODEAD.MAP,0,6.641,scr00000.bmp,640,480,224.36,0.00,160.01,0.83
BROHD12.MAP,0,10.006,scr00000.bmp,640,480,92.43,0.10,149.13,0.83
BROHD34.MAP,0,10.737,scr00000.bmp,640,480,88.36,1.27,147.34,0.83
BROHDENT.MAP,0,7.122,scr00000.bmp,640,480,230.03,0.00,176.79,0.83
CARAVAN.MAP,0,5.550,scr00000.bmp,640,480,181.87,0.07,143.01,0.83
CAVES.MAP,0,7.413,scr00000.bmp,640,480,134.44,0.01,145.78,0.83
CHILDEAD.MAP,0,6.480,scr00000.bmp,640,480,209.12,0.00,169.90,0.83
CHILDRN1.MAP,0,16.313,scr00000.bmp,640,480,170.60,0.00,161.63,0.83
CHILDRN2.MAP,0,9.534,scr00000.bmp,640,480,101.80,2.58,132.93,17.50
CITY1.MAP,0,7.235,scr00000.bmp,640,480,207.28,0.00,172.36,0.83
COAST1.MAP,0,5.512,scr00000.bmp,640,480,263.41,0.00,175.77,0.83
COAST2.MAP,0,5.820,scr00000.bmp,640,480,256.88,0.06,172.62,0.83
COLATRUK.MAP,0,5.702,scr00000.bmp,640,480,257.64,0.00,175.77,0.83
DESCRVN1.MAP,0,6.935,scr00000.bmp,640,480,251.85,0.07,175.93,0.83
DESCRVN2.MAP,0,6.375,scr00000.bmp,640,480,251.92,0.00,176.98,0.83
DESCRVN3.MAP,0,6.886,scr00000.bmp,640,480,251.85,0.07,175.93,0.83
DESCRVN4.MAP,0,6.675,scr00000.bmp,640,480,251.85,0.07,175.93,0.83
DESERT1.MAP,0,5.459,scr00000.bmp,640,480,260.74,0.00,175.93,0.83
DESERT2.MAP,0,5.523,scr00000.bmp,640,480,263.41,0.00,175.77,0.83
DESERT3.MAP,0,5.389,scr00000.bmp,640,480,262.82,0.00,176.98,0.83
DETHCLAW.MAP,0,8.089,scr00000.bmp,640,480,130.65,0.01,145.68,0.83
FOOT.MAP,0,5.498,scr00000.bmp,640,480,258.02,0.00,176.33,0.83
FSAUSER.MAP,0,5.922,scr00000.bmp,640,480,244.10,0.00,175.62,0.83
GLOW1.MAP,0,10.657,scr00000.bmp,640,480,179.31,0.09,163.84,0.83
GLOW2.MAP,0,9.901,scr00000.bmp,640,480,194.42,0.13,163.40,0.83
GLOWENT.MAP,0,6.521,scr00000.bmp,640,480,262.69,0.00,177.25,0.83
HALLDED.MAP,0,12.907,scr00000.bmp,640,480,103.34,0.00,157.67,0.83
HOTEL.MAP,0,11.060,scr00000.bmp,640,480,146.70,0.01,155.41,0.83
HUBDWNTN.MAP,0,19.890,scr00000.bmp,640,480,128.30,0.00,149.35,0.83
HUBENT.MAP,0,15.614,scr00000.bmp,640,480,159.17,0.04,156.69,0.83
HUBHEIGT.MAP,0,10.884,scr00000.bmp,640,480,138.49,0.00,149.37,0.83
HUBMIS1.MAP,0,8.748,scr00000.bmp,640,480,222.71,0.16,176.03,0.83
HUBOLDTN.MAP,0,16.417,scr00000.bmp,640,480,140.52,0.00,154.46,0.83
HUBWATER.MAP,0,14.348,scr00000.bmp,640,480,129.11,0.25,158.67,0.83
JUNKCSNO.MAP,0,12.636,scr00000.bmp,640,480,273.12,0.00,186.57,0.83
JUNKDEMO.MAP,0,11.621,scr00000.bmp,640,480,232.29,0.00,176.04,0.83
JUNKENT.MAP,0,14.157,scr00000.bmp,640,480,237.00,0.00,175.78,0.83
JUNKKILL.MAP,0,11.151,scr00000.bmp,640,480,253.87,0.00,175.49,0.83
LAADYTUM.MAP,0,19.942,scr00000.bmp,640,480,173.87,0.00,162.61,0.83
LABLADES.MAP,0,12.956,scr00000.bmp,640,480,152.72,0.00,164.29,0.83
LAFOLLWR.MAP,0,12.576,scr00000.bmp,640,480,138.23,0.00,160.63,0.83
LAGUNRUN.MAP,0,11.900,scr00000.bmp,640,480,149.81,0.16,168.05,0.83
LARIPPER.MAP,0,10.236,scr00000.bmp,640,480,179.91,1.77,132.93,17.50
MBDEAD.MAP,0,7.881,scr00000.bmp,640,480,157.57,0.08,155.88,0.83
MBENT.MAP,0,10.334,scr00000.bmp,640,480,158.00,0.08,155.88,0.83
MBSTRG12.MAP,0,15.886,scr00000.bmp,640,480,207.60,0.06,160.64,0.83
MBVATS12.MAP,0,16.359,scr00000.bmp,640,480,188.35,0.00,147.23,0.83
MNTCRVN1.MAP,0,7.636,scr00000.bmp,640,480,241.60,0.00,163.65,0.83
MNTCRVN2.MAP,0,7.593,scr00000.bmp,640,480,241.60,0.00,163.65,0.83
MNTCRVN3.MAP,0,7.649,scr00000.bmp,640,480,241.60,0.00,163.65,0.83
MNTCRVN4.MAP,0,7.618,scr00000.bmp,640,480,241.60,0.00,163.65,0.83
MOUNTN1.MAP,0,6.818,scr00000.bmp,640,480,249.69,0.00,163.65,0.83
MOUNTN2.MAP,0,6.617,scr00000.bmp,640,480,249.69,0.00,163.65,0.83
MSTRLR12.MAP,0,16.569,scr00000.bmp,640,480,86.25,0.00,145.84,0.83
MSTRLR34.MAP,0,14.700,scr00000.bmp,640,480,238.98,0.06,174.85,0.83
RAIDERS.MAP,0,11.552,scr00000.bmp,640,480,164.96,0.33,168.56,0.87
SHADYE.MAP,0,9.014,scr00000.bmp,640,480,243.59,0.00,171.72,0.83
SHADYW.MAP,0,10.867,scr00000.bmp,640,480,271.00,0.00,176.65,0.83
TALKCOW.MAP,0,5.718,scr00000.bmp,640,480,260.20,0.00,175.77,0.83
TARDIS.MAP,0,6.247,scr00000.bmp,640,480,256.91,0.00,164.30,0.83
TEMPLAT1.MAP,0,5.204,scr00000.bmp,640,480,262.72,0.00,175.77,0.83
USEDCAR.MAP,0,6.724,scr00000.bmp,640,480,217.96,0.00,166.86,0.83
V13ENT.MAP,0,8.353,scr00000.bmp,640,480,147.74,0.23,147.41,0.83
VAULT13.MAP,0,11.101,scr00000.bmp,640,480,176.85,0.00,152.20,0.83
VAULTBUR.MAP,0,9.084,scr00000.bmp,640,480,143.36,0.00,165.29,0.83
VAULTENT.MAP,0,5.976,scr00000.bmp,640,480,259.92,0.00,176.99,0.83
VAULTNEC.MAP,0,9.737,scr00000.bmp,640,480,125.45,0.04,147.59,0.83
VIPERS.MAP,0,7.135,scr00000.bmp,640,480,251.53,0.00,153.68,2.44
WATRSHD.MAP,0,13.869,scr00000.bmp,640,480,114.47,0.07,146.00,0.83
ZDESERT1.MAP,0,5.213,scr00000.bmp,640,480,260.74,0.00,175.93,0.83
